sale_id,date,product_id,region_id,quantity,unit_price_toman,discount_percent,total_price_toman
S000268,2026-01-28,P008,R006,36,73664,2,2598866
S000269,2026-01-15,P020,R014,99,65489,7,6029572
S000270,2026-02-12,P010,R008,20,82807,0,1656140
S000271,2026-06-28,P013,R001,43,52333,7,2092797
S000272,2026-08-08,P005,R001,90,50453,3,4404547
S000273,2026-01-30,P009,R002,195,59590,5,11039048
S000274,2026-06-10,P011,R001,28,138787,5,3691734
S000275,2026-03-26,P013,R003,300,54478,12,14382192
S000276,2026-07-24,P012,R003,153,85795,10,11813972
S000277,2026-01-16,P004,R001,90,155495,3,13574714
S000278,2026-03-11,P010,R003,300,84902,15,21650010
S000279,2025-10-13,P017,R005,289,75464,15,18537732
S000280,2026-02-14,P003,R009,44,58102,7,2377534
S000281,2026-03-15,P017,R005,92,77688,7,6646985
S000282,2026-06-18,P002,R006,34,110528,2,3682793
S000283,2026-07-08,P002,R012,10,110809,0,1108090
S000284,2025-11-08,P016,R011,224,124091,10,25016746
S000285,2026-06-12,P012,R006,14,82150,2,"1,127,098"
S000286,2026-08-06,P011,R010,12,144594,2,1700425
S000287,2026-07-05,P004,R002,217,151436,15,27932370
S000288,2025-10-15,P013,R003,82,50973,7,3887201
S000289,2026-05-22,P014,R004,61,68585,2,4100011
S000290,2026-05-15,P009,R003,61,65666,3,3885457
S000291,2026-02-16,P007,R006,11,58453,0,642983
S000292,2025-09-10,P013,R001,26,55920,3,1410302
S000293,2026-08-22,P018,R003,166,57765,7,8917761
S000294,2025-09-12,P013,R009,70,50446,7,3284035
S000295,2025-09-22,P012,R004,12,88453,7,987135
S000296,2026-05-01,P010,R001,23,79231,7,1694751
S000297,2026-05-31,P016,R015,59,129642,5,7266434
S000298,2026-01-26,P015,R001,53,208718,2,10840813
S000299,2025-10-14,P004,R003,224,145068,8,29895613
S000300,2025-11-21,P012,R002,46,82261,7,3519126
S000301,2026-03-30,P005,R007,135,49198,5,6309644
S000302,2026-03-01,P020,R013,111,63010,7,6504522
S000303,2026-05-27,P020,R001,18,66432,7,1112072
S000304,2026-02-21,P013,R004,106,53515,3,5502412
S000305,2025-12-02,P007,R002,140,60307,5,8020831
S000306,2025-12-11,P009,R002,209,62212,8,11962123
S000307,2025-12-11,P016,R001,102,128076,5,12410564
S000308,2026-02-27,P017,R001,30,75645,2,2223963
S000309,2026-05-30,P002,R002,74,109098,5,7669589
S000310,2026-02-01,P008,R006,29,76923,0,2230767
S000311,2025-11-14,P011,R012,18,144615,0,2603070
S000312,2026-07-29,P018,R013,240,63174,12,13342349
S000313,2025-11-30,P003,R005,63,62521,5,3741882
S000314,2025-09-18,P010,R011,199,79836,8,14616375
S000315,2026-03-14,P007,R004,102,61210,3,6056117
S000316,2025-10-18,P019,R005,29,99019,7,2670542
S000317,2026-05-14,P003,R002,335,57168,12,16853126
S000318,2025-09-27,P019,R005,245,98219,10,21657290
S000319,2026-04-10,P008,R001,88,71907,5,6011425
S000320,2026-07-27,P008,R003,229,71445,8,15052033
S000321,2025-10-19,P005,R004,87,48946,7,3960221
S000322,2025-11-27,P003,R008,6,57206,0,343236
S000323,2026-08-12,P008,R003,118,73421,7,8057221
S000324,2025-09-28,P003,R001,20,57094,7,1061948
S000325,2025-12-29,P013,R006,17,56144,0,954448
S000326,2026-07-18,P009,R013,235,59510,15,11887122
S000327,2026-06-18,P008,R008,16,72018,3,1117719
S000328,2026-07-11,P002,R002,210,107383,8,20746396
S000329,2025-12-02,P004,R012,60,149321,0,8959260
S000330,2026-08-19,P017,R005,291,72387,12,18536863
S000331,2025-10-28,P007,R012,24,59638,5,1359746
S000332,2026-08-23,P020,R007,187,65167,7,11333193
S000333,2026-03-18,P020,R013,125,65638,8,7548370
S000334,2026-07-22,P002,R014,93,113261,5,10006609
S000335,2026-03-06,P005,R001,90,46564,3,4065037
S000336,2026-06-12,P007,R010,21,60756,0,1275876
S000337,2026-05-31,P017,R014,239,74481,12,15664844
S000338,2025-12-08,P004,R014,356,156101,12,48903321
S000339,2025-11-12,P012,R003,199,88098,10,15778352
S000340,2026-06-29,P017,R001,59,71589,2,4139276
S000341,2026-07-31,P004,R002,224,142065,12,28003853
S000342,2026-01-29,P006,R001,46,82900,7,3546462
S000343,2026-05-16,P020,R005,237,65792,10,14033434
S000344,2025-10-22,P003,R003,171,58441,10,8994070
S000345,2025-10-21,P003,R015,113,59340,3,6504257
S000346,2026-01-22,P013,R004,13,51527,5,636358
S000347,2026-04-19,P007,R003,274,58988,12,14223187
S000348,2026-06-19,P013,R001,34,50909,2,1696288
S000349,2025-12-10,P009,R007,102,61660,10,5660388
S000350,2025-12-28,P009,R004,40,60184,2,2359213
S000351,2025-09-24,P008,R015,148,72906,10,9711079
S000352,2026-08-11,P014,R006,16,69505,0,1112080
S000353,2026-02-19,P018,R007,117,58352,7,6349281
S000354,2026-08-13,P017,R004,116,74808,5,8243842
S000355,2025-12-14,P015,R001,94,210080,7,18365194
S000356,2026-07-23,P001,R006,26,190980,5,4717206
S000357,2026-05-25,P019,R006,10,101347,3,"983,066"
S000358,2025-11-27,P013,R004,29,53922,7,1454276
S000359,2025-09-07,P018,R002,318,57361,12,16051902
S000360,2025-12-11,P017,R008,24,73349,2,1725168
S000361,2025-11-29,P009,R001,37,62421,5,2194098
S000362,2026-06-18,P011,R003,325,138736,8,41482064
S000363,2025-10-26,P018,R001,16,61803,5,939406
S000364,2025-12-28,P009,R013,62,62163,5,3661401
S000365,2026-03-23,P008,R012,8,71130,5,540588
S000366,2026-06-02,P005,R002,134,46666,5,5940582
S000367,2026-02-08,P004,R010,19,145522,2,2709620
S000368,2026-01-19,P008,R002,235,74779,8,16167220
S000369,2025-08-26,P020,R011,154,60575,8,8582266
S000370,2026-04-12,P018,R008,25,58790,0,1469750
S000371,2026-06-12,P017,R007,109,77740,8,7795767
S000372,2026-07-20,P009,R006,38,63957,5,2308848
S000373,2026-04-11,P010,R003,209,84247,10,15846861
S000374,2025-12-06,P010,R009,74,82537,5,5802351
S000375,2026-04-16,P005,R012,28,47936,2,1315364
S000376,2026-02-05,P003,R007,61,57024,7,3234972
S000377,2025-12-31,P007,R011,97,62558,5,5764720
S000378,2025-10-15,P018,R001,47,61348,2,2825689
S000379,2026-01-31,P005,R006,12,47025,5,536085
S000380,2026-01-23,P009,R005,25,61674,3,1495594
S000381,2026-07-14,P016,R001,9,130786,5,1118220
S000382,2025-12-11,P003,R003,60,58115,7,3242817
S000383,2026-02-26,P011,R008,13,136285,0,1771705
S000384,2025-10-23,P018,R001,34,61994,3,2044562
S000385,2025-10-08,P015,R003,171,217420,5,35319879
S000386,2026-04-19,P013,R008,26,51886,0,1349036
S000387,2025-11-06,P014,R004,21,67380,3,1372531
S000388,2026-01-17,P018,R006,16,58519,0,936304
S000389,2026-06-02,P017,R003,206,73771,10,13677143
S000390,2026-04-29,P010,R001,24,82444,3,1919296
S000391,2026-08-05,P017,R009,42,77580,5,3095442
S000392,2026-02-05,P003,R001,51,58978,2,2947720
S000393,2025-09-28,P016,R011,136,134382,8,16813876
S000394,2026-07-09,P003,R001,62,61592,7,3551395
S000395,2026-06-10,P013,R001,118,55270,2,6391423
S000396,2026-01-15,P012,R007,117,85054,7,9254726
S000397,2026-02-12,P010,R004,17,82753,3,1364597
S000398,2026-08-15,P014,R005,86,66496,7,5318350
S000399,2026-04-25,P008,R006,7,73844,3,501401
S000400,2026-06-29,P018,R005,145,60520,10,7897860
S000401,2026-01-10,P005,R010,27,48229,3,1263118
S000402,2026-05-20,P001,R001,71,191746,5,12933268
S000403,2026-07-14,P012,R004,50,81551,7,3792121
S000404,2025-12-17,P016,R008,23,131691,0,3028893
S000405,2025-08-24,P008,R010,42,70203,0,2948526
S000406,2026-02-15,P017,R004,38,77207,7,2728495
S000407,2025-11-10,P017,R003,259,75163,8,17909840
S000408,2026-05-31,P009,R014,83,64110,7,4948651
S000409,2026-07-30,P017,R005,115,76297,5,8335447
S000410,2026-01-03,P012,R005,204,85786,10,15750310
S000411,2025-11-30,P020,R004,29,66185,5,1823397
S000412,2026-06-26,P011,R009,74,140219,5,9857396
S000413,2026-04-29,P019,R008,15,95519,0,1432785
S000414,2026-05-26,P012,R014,283,84356,15,20291836
S000415,2026-06-13,P011,R001,90,142615,5,12193582
S000416,2026-04-27,P004,R010,14,153634,0,2150876
S000417,2026-04-02,P014,R002,258,68762,12,15611724
S000418,2026-05-01,P002,R004,101,102000,5,9786900
S000419,2025-11-05,P018,R004,42,61433,3,2502780
S000420,2026-06-01,P020,R001,115,65153,2,7342743
S000421,2025-12-30,P009,R001,72,62299,3,4350962
S000422,2025-09-07,P019,R010,23,95892,2,2161406
S000423,2026-02-28,P020,R010,13,60767,0,789971
S000424,2026-07-11,P013,R003,311,56052,8,16037598
S000425,2025-10-05,P008,R007,168,72382,5,11552167
S000426,2026-01-02,P011,R013,193,138179,8,24535063
S000427,2026-07-16,P005,R014,129,49375,5,6050906
S000428,2025-11-08,P013,R008,10,55466,3,538020
S000429,2026-04-14,P019,R001,59,92915,3,5317525
S000430,2026-06-08,P012,R002,163,83188,8,12474872
S000431,2025-08-30,P014,R007,65,68061,3,4291246
S000432,2025-12-24,P010,R008,13,79944,0,1039272
S000433,2026-02-08,P011,R003,163,141008,8,21145560
S000434,2026-08-08,P001,R001,16,190381,2,2985174
S000435,2025-12-09,P016,R003,277,123209,10,30716004
S000436,2025-11-12,P017,R001,94,77224,7,6750922
S000437,2026-04-13,P003,R002,134,58371,7,7274194
S000438,2026-04-23,P005,R001,34,49814,5,1608992
S000439,2026-05-01,P005,R010,29,50708,3,1426416
S000440,2025-12-01,P008,R003,362,72259,8,24065137
S000441,2025-10-27,P013,R011,93,54636,7,4725468
S000442,2025-09-21,P003,R005,47,61167,3,2788604
S000443,2026-07-20,P012,R015,139,83080,7,10739752
S000444,2025-10-12,P010,R003,40,83639,7,3111371
S000445,2026-04-28,P016,R001,89,134556,7,11137200
S000446,2026-08-01,P002,R002,143,104238,8,13713551
S000447,2026-01-03,P019,R001,87,97598,5,8066475
S000448,2026-06-23,P006,R001,98,90848,2,8725042
S000449,2026-02-24,P008,R005,204,76118,8,14285826
S000450,2026-02-19,P004,R001,83,143160,2,11644634
S000451,2026-04-19,P009,R001,89,60252,7,4987058
S000452,2025-09-01,P002,R001,105,103546,3,10546160
S000453,2025-11-25,P005,R006,45,50404,2,2222816
S000454,2026-08-04,P005,R004,81,49732,3,3907443
S000455,2026-04-05,P011,R008,28,136566,0,3823848
S000456,2025-10-03,P005,R005,259,47497,8,11317585
S000457,2026-07-09,P011,R001,109,143239,7,14520137
S000458,2026-02-26,P008,R005,150,75928,8,10478064
S000459,2026-03-23,P016,R008,8,131781,0,1054248
S000460,2025-12-03,P018,R001,85,60621,2,5049729
S000461,2025-12-29,P005,R004,34,47899,7,1514566
S000462,2026-03-14,P013,R003,151,53200,8,7390544
S000463,2026-03-12,P010,R006,32,82359,0,2635488
S000464,2026-01-29,P014,R002,266,67440,8,16503917
S000465,2025-10-21,P020,R001,30,60741,5,1731118
S000466,2025-11-12,P003,R003,243,60800,8,13592448
S000467,2026-08-03,P017,R004,41,73944,3,2940753
S000468,2025-09-05,P012,R002,113,85448,7,8979730
S000469,2025-09-25,P006,R007,244,89340,8,20055043
S000470,2026-07-24,P012,R006,52,82034,5,4052480
S000471,2026-08-10,P009,R001,28,59656,5,1586850
S000472,2025-12-20,P003,R002,263,59853,10,14167205
S000473,2026-05-25,P020,R004,87,61898,7,5008167
S000474,2026-04-09,P020,R002,201,63793,12,11283706
S000475,2025-11-21,P003,R011,62,58263,3,3503937
S000476,2026-07-15,P006,R007,117,89326,8,9615051
S000477,2025-11-07,P005,R006,11,46974,3,501213
S000478,2026-04-01,P016,R001,74,133599,5,9392010
S000479,2026-02-15,P020,R002,128,63726,10,7341235
S000480,2026-02-10,P011,R003,106,138645,8,13520660
S000481,2026-04-30,P001,R006,26,183259,2,4669439
S000482,2025-11-17,P010,R003,284,83167,12,20785097
S000483,2026-06-30,P006,R001,94,89190,3,8132344
S000484,2026-03-11,P018,R010,10,59966,0,599660
S000485,2026-08-22,P018,R008,36,60915,3,2127152
S000486,2025-09-29,P005,R002,76,48466,7,3425577
S000487,2026-03-11,P017,R004,64,71416,3,4433505
S000488,2026-08-16,P007,R005,254,58088,10,13278917
S000489,2026-07-05,P013,R004,111,50848,3,5474804
S000490,2025-12-21,P007,R008,36,61765,2,2179069
S000491,2026-05-21,P011,R001,11,134687,2,1451926
S000491,2026-05-21,P011,R001,11,134687,2,1451926
S000493,2025-10-01,P013,R013,214,52065,10,10027719
S000494,2025-10-11,P017,R007,199,76738,8,14049193
S000495,2026-03-08,P004,R005,282,149646,12,37136151
S000496,2026-07-21,P010,R001,46,79268,2,3573401
S000497,2026-02-27,P016,R002,35,131638,5,4376964
S000498,2025-08-27,P009,R002,30,65089,5,1855036
