sale_id,date,product_id,distribution_id,quantity,unit_price_rial,discount_percent,total_price_rial
94,2026-04-23,P018,D025,41,590000,3,23464300
95,2026-02-06,P007,D035,64,580000,3,36006400
96,2026-04-18,P011,D007,44,1350000,6,55836000
97,2026-05-26,P005,D034,62,480000,3,28867200
98,2026-08-13,P013,D006,74,520000,4,36940800
99,2026-08-20,P019,D005,29,950000,2,26999000
100,2026-01-23,P010,D017,27,790000,0,21330000
101,2026-07-04,P006,D015,65,850000,5,52487500
102,2026-06-24,P012,D032,60,820000,6,46248000
103,2026-02-07,P007,D026,90,580000,8,48024000
104,2025-09-09,P016,D030,61,1250000,4,73200000
105,2026-02-21,P002,D022,17,1050000,3,17314500
106,2025-08-29,P004,D035,17,1450000,2,24157000
107,2026-04-02,P009,D012,70,610000,6,40138000
108,2026-07-07,P002,D023,46,1050000,6,45402000
109,2026-08-15,P016,D004,33,1250000,0,41250000
110,2025-12-22,P003,D016,38,580000,0,22040000
111,2025-10-26,P003,D023,37,580000,0,21460000
112,2026-02-09,P006,D001,70,850000,4,57120000
113,2025-09-20,P019,D011,60,950000,5,54150000
114,2025-11-06,P008,D009,74,720000,5,50616000
115,2025-09-01,P017,D001,12,720000,2,8467200
116,2026-06-01,P005,D008,32,480000,0,15360000
117,2026-04-05,P018,D012,51,590000,4,28886400
118,2025-09-26,P007,D007,24,580000,2,13641600
119,2026-03-03,P019,D010,63,950000,5,56857500
120,2026-06-11,P010,D028,36,790000,3,27586800
121,2026-08-11,P017,D029,5,720000,2,3528000
122,2026-04-24,P014,D030,48,650000,3,30264000
123,2026-04-01,P019,D022,11,950000,2,10241000
124,2026-04-14,P003,D002,63,580000,4,35078400
125,2026-01-14,P008,D026,82,720000,6,55497600
126,2026-07-12,P013,D023,39,520000,3,19671600
127,2026-02-03,P005,D036,62,480000,5,28272000
128,2025-09-15,P006,D035,58,850000,3,47821000
129,2025-09-11,P007,D029,35,580000,0,20300000
130,2026-03-18,P017,D028,7,720000,0,5040000
131,2026-03-05,P017,D032,24,720000,0,17280000
132,2026-03-19,P001,D005,90,1850000,8,153180000
133,2026-02-04,P008,D017,29,720000,2,20462400
134,2026-02-07,P020,D018,50,620000,6,29140000
135,2025-09-20,P003,D003,42,580000,5,23142000
136,2026-01-11,P012,D019,69,820000,4,54316800
137,2026-01-28,P018,D030,49,590000,6,27175400
138,2025-12-18,P006,D025,74,850000,3,61013000
139,2026-01-29,P016,D005,13,1250000,2,15925000
140,2026-04-23,P009,D034,-10,610000,5,37667500
141,2026-03-24,P008,D008,50,720000,5,34200000
142,2025-10-05,P006,D016,86,850000,5,69445000
143,2026-03-27,P013,D002,37,520000,2,18855200
144,2025-12-31,P005,D024,14,480000,0,6720000
145,2025-09-27,P011,D017,31,1350000,0,41850000
146,2026-07-11,P005,D002,16,480000,3,7449600
147,2026-03-26,P009,D019,40,610000,6,22936000
148,2026-03-02,P007,D036,15,580000,0,8700000
149,2026-05-29,P016,D005,62,1250000,6,72850000
150,2026-03-03,P005,D025,81,480000,5,36936000
151,2026-01-31,P009,D012,65,610000,6,37271000
152,2025-12-09,P009,D007,74,610000,3,43785800
153,2026-01-31,P003,D015,14,580000,2,7957600
154,2025-11-14,P017,D023,84,720000,7,56246400
155,2026-01-01,P020,D006,17,620000,0,10540000
156,2026-05-26,P013,D028,71,520000,6,34704800
157,2026-04-27,P018,D036,49,590000,4,27753600
158,2026-02-01,P010,D029,82,790000,7,60245400
159,2026-02-09,P002,D011,16,1050000,3,16296000
160,2026-03-17,P020,D002,90,620000,8,51336000
161,2026-02-22,P020,D030,42,620000,4,24998400
162,2025-09-07,P015,D019,29,2100000,3,59073000
163,2026-01-21,P007,D029,42,580000,6,22898400
164,2025-12-07,P015,D033,25,2100000,0,52500000
165,2026-07-23,P007,D024,27,580000,2,15346800
166,2026-03-11,P013,D005,86,520000,7,41589600
167,2025-08-30,P007,D013,80,580000,6,43616000
168,2025-09-21,P017,D028,70,720000,4,48384000
169,2026-03-22,P005,D025,22,480000,2,10348800
170,2026-04-25,P006,D011,58,850000,6,46342000
171,2026-07-19,P005,D021,58,480000,6,26169600
172,2026-02-23,P009,D008,19,610000,3,11242300
173,2026-07-08,P012,D031,22,820000,2,17679200
174,2026-02-04,P011,D004,38,1350000,0,51300000
175,2026-01-23,P008,D014,13,720000,0,9360000
176,2026-06-25,P013,D005,42,520000,4,20966400
177,2026-05-26,P010,D033,8,790000,3,6130400
178,2025-10-04,P007,D002,62,580000,3,34881200
179,2025-10-04,P018,D001,82,590000,7,44993400
180,2026-01-28,P013,D015,15,520000,0,7800000
181,2026-01-14,P010,D036,36,790000,0,28440000
182,2025-12-29,P016,D028,46,1250000,5,54625000
183,2026-06-15,P005,D017,75,480000,3,34920000
184,2026-05-10,P019,D008,29,950000,2,26999000
185,2026-02-26,P020,D010,40,620000,3,24056000
186,2026-07-05,P007,D014,65,580000,6,35438000
187,2025-12-27,P005,D014,62,480000,6,27974400
188,2025-09-22,P012,D020,44,820000,5,34276000
189,2025-12-15,P012,D025,54,820000,5,42066000
190,2026-03-30,P009,D029,11,610000,2,6575800
191,2026-02-26,P016,D002,64,1250000,5,76000000
192,2026-01-04,P020,D006,61,620000,3,36685400
193,2026-03-15,P999,D024,31,1350000,0,41850000
194,2026-02-22,P008,D010,35,720000,2,24696000
195,2026-05-02,P020,D005,16,620000,3,9622400
196,2026-08-23,P017,D036,51,720000,5,34884000
197,2026-07-14,P018,D034,28,590000,0,16520000
198,2026-08-18,P017,D018,54,720000,4,37324800
199,2026-03-29,P003,D036,63,580000,3,35443800
200,2025-10-09,P007,D017,82,580000,6,44706400
201,2026-05-29,P004,D032,19,1450000,0,27550000
202,2025-12-22,P015,D034,38,2100000,2,78204000
203,2025-10-09,P007,D019,27,580000,0,15660000
204,2026-04-18,P015,D031,75,2100000,3,152775000
205,2025-09-09,P013,D024,84,520000,8,40185600
206,2026-07-13,P011,D011,39,1350000,2,51597000
207,2026-02-06,P014,D015,68,650000,5,41990000
208,2026-07-03,P007,D013,61,580000,3,34318600
209,2025-12-20,P010,D009,20,790000,3,15326000
210,2025-11-24,P018,D012,71,590000,4,40214400
211,2026-02-21,P011,D012,8,1350000,3,10476000
212,2026-08-11,P005,D002,78,480000,6,35193600
213,2025-12-08,P001,D005,42,1850000,5,73815000
214,2025-09-09,P003,D014,42,580000,5,23142000
215,2026-06-20,P013,D005,19,520000,2,9682400
216,2026-03-10,P008,D022,48,720000,4,33177600
217,2026-05-09,P017,D006,82,720000,7,54907200
218,2025-10-23,P020,D011,49,620000,6,28557200
219,2026-05-07,P007,D014,20,580000,0,11600000
220,2026-03-22,P006,D035,74,850000,6,59126000
221,2025-10-26,P013,D031,21,520000,0,10920000
222,2025-11-02,P009,D015,35,610000,3,20709500
223,2026-07-07,P016,D005,37,1250000,3,44862500
224,2026-03-01,P007,D033,67,580000,5,36917000
225,2026-03-28,P005,D021,39,480000,2,18345600
226,2026-05-06,P014,D018,86,650000,7,51987000
227,2025-12-09,P012,D033,65,820000,4,51168000
228,2025-12-09,P007,D013,68,580000,4,37862400
229,2025-11-06,P011,D026,24,1350000,0,32400000
230,2025-11-22,P014,D023,11,650000,3,6935500
231,2025-09-30,P017,D020,29,720000,3,20253600
232,2026-02-14,P005,D012,11,480000,0,5280000
233,2026-03-04,P015,D033,37,2100000,0,77700000
234,2026-08-22,P008,D034,36,720000,0,25920000
235,2026-07-28,P007,D024,93,580000,8,49624800
236,2025-12-03,P017,D027,32,720000,2,22579200
237,2026-06-07,P012,D007,58,820000,3,46133200
238,2026-01-18,P003,D018,35,580000,3,19691000
239,2026-05-24,P020,D027,6,620000,0,3720000
240,2025-09-16,P003,D015,80,580000,7,43152000
241,2026-04-30,P013,D014,30,520000,0,15600000
242,2026-02-06,P020,D026,73,620000,4,43449600
243,2026-05-27,P014,D029,79,650000,3,49809500
244,2026-07-24,P003,D033,27,580000,2,15346800
245,2026-06-30,P009,D026,69,610000,3,40827300
246,2026-02-06,P011,D003,61,1350000,3,79879500
247,2026-01-17,P017,D021,11,720000,0,7920000
248,2026-07-30,P003,D002,51,580000,6,27805200
249,2026/01/09,P018,D034,58,590000,4,32851200
250,2026-04-16,P008,D020,73,720000,3,50983200
251,2026-05-25,P020,D026,67,620000,4,39878400
252,2026-02-08,P005,D032,21,480000,0,10080000
253,2025-11-21,P003,D017,10,580000,3,5626000
254,2025-11-19,P005,D003,64,480000,5,29184000
255,2026-03-16,P017,D009,24,720000,3,16761600
256,2025-12-13,P003,D032,27,580000,3,15190200
257,2025-09-10,P008,D014,72,720000,4,49766400
258,2025-12-13,P005,D009,36,480000,3,16761600
259,2026-07-23,P012,D021,21,820000,2,16875600
260,2026-04-13,P019,D004,25,950000,0,23750000
261,2026-07-07,P005,D027,70,480000,5,31920000
262,2025-12-14,P018,D007,22,590000,0,12980000
263,2026-05-02,P014,D009,45,650000,5,27787500
264,2025-12-16,P008,D017,63,720000,4,43545600
265,2026-01-07,P009,D008,24,610000,3,14200800
266,2025-12-11,P005,D021,39,480000,2,18345600
267,2025-11-27,P017,D024,74,720000,5,50616000
268,2025-10-25,P015,D034,88,2100000,5,175560000
269,2026-06-25,P003,D002,6,580000,0,3480000
270,2025-09-18,P005,D017,13,480000,3,6052800
271,2026-04-18,P001,D015,6,1850000,2,10878000
272,2025-08-30,P017,D030,24,720000,0,17280000
273,2025-11-21,P013,D013,65,520000,6,31772000
274,2026-03-12,P020,D025,21,620000,0,13020000
275,2025-09-27,P008,D003,5,720000,3,3492000
276,2026-04-12,P007,D036,67,580000,6,36528400
277,2025-12-02,P019,D011,64,950000,5,57760000
278,2025-08-29,P005,D030,53,480000,4,24422400
279,2026-03-13,P018,D020,49,590000,3,28042700
280,2026-02-22,P020,D016,16,620000,3,9622400
281,2026-08-12,P007,D029,66,580000,6,35983200
282,2026-01-29,P014,D004,46,650000,3,29003000
283,2025-12-01,P008,D006,48,720000,3,33523200
284,2026-08-02,P009,D004,16,610000,3,9467200
285,2025-10-01,P003,D022,39,580000,3,21941400
286,2026-01-14,P003,D033,33,580000,3,18565800
287,2025-10-26,P006,D006,26,850000,3,21437000
288,2026-06-04,P008,D026,62,720000,3,43300800
289,2025-10-13,P001,D031,51,1850000,5,89632500
290,2026-01-29,P017,D022,51,720000,4,35251200
291,2026-02-15,P005,D012,75,480000,5,34200000
292,2026-01-09,P017,D005,92,720000,6,62265600
293,2026-04-27,P012,D017,30,820000,0,24600000
294,2026-06-17,P017,D018,46,720000,6,31132800
295,2026-06-06,P003,D018,66,580000,6,35983200
296,2026-03-06,P017,D033,103,720000,5,70452000
297,2026-05-30,P013,D024,11,520000,3,5548400
298,2026-08-11,P007,D004,20,580000,0,11600000
299,2026-02-03,P008,D022,83,720000,8,54979200
300,2025-10-01,P009,D005,22,610000,0,13420000
301,2026-02-28,P008,D026,59,720000,3,41205600
302,2025-09-01,P007,D029,38,580000,2,21599200
303,2026-03-11,P020,D015,37,620000,3,22251800
304,2025-09-03,P013,D022,50,520000,5,24700000
305,2026-05-23,P017,D004,70,720000,6,47376000
306,2025-10-05,P014,D035,53,650000,3,33416500
307,2025-12-30,P017,D030,45,720000,4,31104000
308,2025-12-18,P006,D014,23,850000,0,19550000
309,2026-03-15,P009,D020,37,610000,0,22570000
310,2025-11-01,P017,D032,6,720000,3,4190400
311,2026-08-10,P011,D025,58,1350000,4,75168000
312,2025-09-23,P002,D011,38,1050000,3,38703000
313,2026-03-12,P017,D019,105,720000,7,70308000
314,2026/03/06,P016,D016,28,1250000,0,35000000
315,2025-12-12, P020 ,D013,19,620000,0,11780000
316,2025-11-10,P016,D031,53,1250000,4,63600000
317,2026-06-15,P017,D020,87,720000,7,58255200
318,2025-12-09,P006,D036,19,850000,3,15665500
319,2026-07-24,P020,D005,25,620000,0,15500000
320,2026-05-27,P014,D021,38,650000,0,24700000
321,2026-04-07,P018,D019,46,590000,6,25511600
322,2026-08-05,P007,D028,16,580000,2,9094400
323,2026-06-29,P017,D035,34,720000,2,23990400
324,2025-12-27,P012,D018,54,820000,3,42951600
325,2025-09-29,P017,D005,22,720000,3,15364800
326,2025-11-07,P014,D024,29,650000,0,18850000
327,2026/04/16,P006,D033,24,850000,0,20400000
328,2026-01-28,P003,D008,13,580000,3,7313800
329,2025-08-27,P014,D036,60,650000,4,37440000
330,2026-01-12,P016,D012,48,1250000,4,57600000
331,2026-04-11,P014,D021,29,650000,0,18850000
332,2026-07-25,P013,D008,15,520000,3,7566000
333,2026-01-01,P009,D009,16,610000,2,9564800
334,2026-06-02,P014,D024,46,650000,4,28704000
335,2026-05-22,P007,D033,31,580000,3,17440600
336,2026-04-09,P003,D001,46,580000,6,25079200
337,2026-01-06,P014,D035,13,650000,2,8281000
338,2025-11-12,P019,D015,42,950000,6,37506000
339,2026-01-26,P009,D020,23,610000,0,14030000
340,2026-08-14,P005,D022,13,480000,0,6240000
341,2025-09-14,P003,D017,13,580000,0,7540000
342,2025-10-07,P015,D006,57,2100000,5,113715000
343,2025-10-25,P004,D010,17,1450000,3,23910500
344,2025-12-03,P003,D021,14,580000,0,8120000
345,2026-02-22,P012,D010,20,820000,0,16400000
346,2025-11-16,P011,D032,35,1350000,0,47250000
347,2025-10-29,P020,D029,54,620000,5,31806000
348,2025-12-02,P003,D019,12,580000,0,6960000
349,2026-08-06,P003,D011,46,580000,3,25879600
350,2026-01-07,P007,D027,38,580000,3,21378800
351,2026-08-23,P017,D020,42,720000,3,29332800
352,2025-11-18,P008,D032,51,720000,5,34884000
353,2025-10-01,P011,D018,11,1350000,2,14553000
354,2025-09-27,P019,D019,61,950000,3,56211500
355,2026-02-23,P013,D022,15,520000,0,7800000
356,2025-12-10,P018,D015,43,590000,3,24608900
357,2026-08-03,P004,D004,18,1450000,3,25317000
358,2025-10-07,P008,D017,57,720000,4,39398400
359,2026-06-13,P007,D022,31,580000,0,17980000
360,2026-05-08,P020,D002,51,620000,3,30671400
361,2026-08-06,P018,D020,20,590000,0,11800000
362,2025-10-08,P003,D009,29,580000,0,16820000
363,2026-03-17,P006,D001,18,850000,0,15300000
364,2025-09-27,P017,D005,79,720000,6,53467200
365,2026-06-18,P008,D025,32,720000,2,22579200
366,2025-12-06,P018,D023,37,590000,3,21175100
367,2025-09-15,P006,D008,86,850000,5,69445000
368,2026-08-19,P017,D020,75,720000,5,51300000
369,2026-01-14,P005,D008,48,480000,5,21888000
370,2026-05-29,P020,D004,40,620000,3,24056000
371,2026-05-28,P020,D036,62,620000,4,36902400
372,2025-10-28,P012,D026,88,820000,6,67830400
373,2026-03-12,P005,D032,87,480000,5,39672000
374,2025-09-26,P005,D019,5,480000,0,2400000
375,2025-12-28,P005,D032,13,480000,0,6240000
376,2026-06-01,P017,D035,56,720000,3,39110400
377,2025-12-26,P007,D027,71,580000,5,39121000
378,2025-10-27,P020,D034,53,620000,4,31545600
379,2026-01-10,P016,D007,6,1250000,3,7275000
380,2026-06-29,P017,D007,53,720000,4,36633600
381,2026-04-10,P003,D012,14,580000,0,8120000
382,2026-04-08,P020,D025,38,620000,0,23560000
383,2026-05-01,P008,D026,12,720000,0,8640000
384,2026-07-12,P010,D020,19,790000,0,15010000
385,2025-10-23,P003,D011,40,580000,5,"22,040,000"
386,2025-10-26,P008,D020,19,720000,3,13269600
387,2026-05-06,P009,D022,53,610000,4,31036800
388,2026-08-14,P009,D034,70,610000,4,40992000
389,2025-09-28,P008,D018,11,720000,2,7761600
390,2026-06-19,P013,D004,30,520000,0,15600000
391,2026-02-13,P003,D017,40,580000,4,22272000
392,2026-01-08,P008,D002,57,720000,5,38988000
393,2026-03-12,P005,D004,49,480000,4,22579200
394,2026-03-09,P017,D016,104,720000,6,70387200
395,2026-02-14,P003,D026,71,580000,4,39532800
396,2025-10-07,P016,D036,29,1250000,3,35162500
397,2025/09/22,P014,D030,22,650000,0,14300000
398,2025-09-25,P012,D031,90,820000,8,67896000
399,2025-10-04,P005,D021,18,480000,0,8640000
400,2026-06-05,P018,D032,39,590000,3,22319700
401,2025-09-06,P006,D022,65,850000,5,52487500
402,2026-04-30,P003,D010,59,580000,5,32509000
403,2025-12-17,P017,D025,40,720000,6,27072000
404,2026-05-31,P007,D022,15,580000,3,8439000
405,2026-05-19,P016,D030,61,1250000,6,71675000
406,2025-10-13,P018,D002,27,590000,0,15930000
407,2025-11-24,P009,D026,40,610000,6,22936000
408,2026-04-08,P004,D014,72,1450000,5,99180000
409,2025-12-29,P017,D030,16,720000,0,11520000
410,2026-06-30,P017,D008,34,720000,3,23745600
411,2026-02-26,P018,D025,70,590000,3,40061000
412,2025-11-15,P013,D026,39,520000,2,19874400
413,2026-02-08,P005,D019,47,480000,5,21432000
414,2026-03-11,P012,D025,87,820000,7,66346200
415,2026-07-03,P006,D033,48,850000,4,39168000
416,2026-07-17,P017,D022,54,720000,6,36547200
417,2026-08-23,P006,D014,11,850000,0,9350000
418,2025-12-29,P015,D023,71,2100000,5,141645000
419,2026-06-27,P017,D007,20,720000,0,14400000
420,2026-08-04,P018,D009,32,590000,2,18502400
421,2026-01-08,P012,D005,12,820000,0,9840000
422,2026-02-12,P005,D025,63,480000,4,29030400
423,2025-10-14,P005,D021,73,480000,4,33638400
424,2026-06-02,P010,D007,11,790000,0,8690000
425,2026-03-16,P005,D029,31,480000,3,14433600
426,2026-01-28,P010,D020,60,790000,4,45504000
427,2025-08-30,P001,D009,43,1850000,5,75572500
428,2025-10-25,P017,D011,69,720000,4,47692800
429,2025-12-29,P018,D007,52,590000,4,29452800
430,2025-11-10,P002,D005,10,1050000,0,10500000
431,2026-03-21,P002,D031,11,1050000,3,11203500
432,2025-10-08,P006,D008,6,850000,2,4998000
433,2026-04-02,P014,D033,62,650000,3,39091000
434,2026-06-04,P010,D029,69,790000,6,51239400
435,2025-12-11,P002,D008,56,1050000,3,57036000
436,2026-07-20,P017,D006,14,720000,0,10080000
437,2026-07-19,P013,D036,34,520000,0,17680000
438,2026-07-08,P018,D025,52,590000,3,29759600
439,2025-08-27,P004,D012,58,1450000,3,81577000
440,2026-01-08,P007,D015,62,580000,6,33802400
441,2026-06-10,P013,D005,14,520000,0,7280000
442,2026-01-24,P012,D025,31,820000,0,25420000
443,2026-07-03,P018,D033,59,590000,6,32721400
444,2026-02-01,P003,D001,76,580000,4,42316800
445,2026-08-15,P014,D019,19,650000,3,11979500
446,2025-12-30,P014,D031,81,650000,5,50017500
447,2026-04-12,P005,D031,22,480000,0,10560000
448,2025-12-24,P006,D020,49,850000,6,39151000
449,2026-02-03,P012,D018,46,820000,3,36588400
450,2025-10-01,P009,D001,19,610000,2,11358200
451,2026-07-14,P012,D017,42,820000,4,33062400
452,2026-06-27,P007,D022,45,580000,4,25056000
453,2025-08-24,P008,D029,82,720000,5,56088000
454,2026-07-16,P010,D027,61,790000,4,46262400
455,2025-10-07,P018,D030,26,590000,3,14879800
456,2025-09-10,P013,D005,65,520000,4,32448000
457,2026-08-10,P001,D020,61,1850000,4,108336000
458,2026-05-01,P005,D004,45,480000,4,20736000
459,2025-12-03,P020,D017,23,620000,2,13974800
460,2026-06-26,P011,D027,69,1350000,5,88492500
461,2026-04-29,P019,D026,30,950000,2,27930000
462,2026-05-08,P016,D021,67,1250000,5,79562500
463,2026-07-09,P009,D004,57,610000,4,33379200
464,2025-12-01,P017,D025,25,720000,2,17640000
465,2025-11-07,P011,D017,84,1350000,8,104328000
466,2025-11-20,P017,D011,11,720000,2,7761600
467,2026-08-11,P003,D008,71,580000,5,39121000
468,2026-05-24,P011,D028,26,1350000,0,35100000
469,2025-11-01,P005,D014,56,480000,4,25804800
470,2026-03-18,P006,D026,36,850000,0,30600000
471,2026-05-31,P013,D011,68,520000,5,33592000
472,2026-03-01,P020,D029,31,620000,0,19220000
473,2025-12-31,P018,D012,47,590000,6,26066200
474,2026-08-22,P017,D001,62,720000,4,42854400
475,2026-08-08,P014,D033,20,650000,2,12740000
476,2025-09-02,P011,D019,61,1350000,4,79056000
477,2025-12-21,P003,D035,78,580000,4,43430400
478,2026-04-23,P017,D016,21,720000,3,14666400
479,2026-04-13,P019,D006,54,950000,3,49761000
480,2025-09-13,P017,D021,34,720000,3,23745600
481,2026-04-06,P009,D025,80,610000,5,46360000
482,2026-05-25,P012,D003,78,820000,5,60762000
483,2026-03-26,P007,D014,7,580000,0,4060000
484,2026-05-21,P017,D011,27,720000,2,19051200
485,2026-08-08,P001,D006,11,1850000,0,20350000
486,2025-12-15,P016,D013,65,1250000,4,78000000
487,2025-10-22,P005,D007,29,480000,0,13920000
488,2026-06-29,P019,D017,88,950000,7,77748000
489,2025-09-29,P015,D012,21,2100000,2,43218000
490,2026-04-01,P018,D017,33,590000,2,19080600
491,2026-06-13,P020,D012,35,620000,2,21266000
492,2026-06-25,P004,D032,72,1450000,6,98136000
493,2026-03-09,P005,D031,20,480000,0,9600000
494,2026-05-14,P018,D023,88,590000,6,48804800
495,2026-07-20,P012,D036,59,820000,6,45477200
496,2025-11-15,P017,D011,56,720000,5,38304000
497,2026-02-22,P013,D030,23,520000,0,11960000
498,2025-10-29,P020,D035,57,620000,100,33219600
499,2025-11-18,P006,D025,69,850000,6,55131000
500,2026-07-24,P018,D024,19,590000,2,10985800
501,2026-06-23,P006,D007,63,850000,3,51943500
502,2026-02-26,P008,D019,49,720000,6,33163200
503,2026-07-13,P001,D016,37,1850000,0,68450000
504,2025-10-18,P005,D030,33,480000,0,15840000
505,2026-02-16,P010,D006,49,790000,4,37161600
506,2025-10-13,P011,D006,26,1350000,3,34047000
507,2026-03-23,P012,D026,38,820000,3,30225200
508,2026-07-05,P005,D022,72,480000,5,32832000
509,2025-10-25,P014,D022,13,650000,0,8450000
510,2025-08-30,P011,D025,22,1350000,0,29700000
511,2026-07-09,P011,D004,22,1350000,0,29700000
512,2026-07-16,P017,D019,57,720000,6,38577600
513,2025-11-17,P017,D014,93,720000,5,63612000
514,2026-01-27,P006,D033,17,850000,3,14016500
515,2025-11-27,P001,D001,61,1850000,4,108336000
516,2026-04-29,P007,D006,91,580000,8,48557600
517,2026-03-12,P013,D015,38,520000,3,19167200
518,2025-10-29,P012,D036,86,820000,6,66288800
519,2026-07-01,P013,D017,26,520000,2,13249600
520,2026-06-10,P013,D002,46,520000,3,23202400
521,2026-06-19,P010,D004,33,790000,0,26070000
522,2026-05-13,P019,D024,43,950000,4,39216000
523,2026-04-10,P009,D024,52,610000,4,30451200
524,2026-03-30,P014,D024,20,650000,3,12610000
525,2026-01-01,P008,D019,14,720000,2,9878400
526,2025-12-30,P017,D035,66,720000,5,45144000
527,2025-10-28,P011,D019,54,1350000,5,69255000
528,2026-07-08,P017,D025,64,720000,5,43776000
529,2026-08-09,P009,D022,8,610000,3,4733600
530,2026-04-07,P020,D009,37,620000,0,22940000
531,2026-05-04,P006,D015,56,850000,6,44744000
